,unknown1,unknown2,unknown3
79,-114.33268600000001,188.55,34.477484999999994
80,-110.246946,1344.03,31.564596999999996
81,-111.62593600000001,2087.44,35.197151
82,-111.860423,366.83,33.347586
83,-110.85678500000002,789.11,32.21901
84,-111.858305,368.05,33.376583000000004
85,-109.76234,892.75,32.843664000000004
86,-112.44974099999999,1573.11,34.616766
87,-111.84541100000001,489.9,33.607096999999996
88,-112.190735,357.58,33.570226
89,-112.129929,349.25,33.513231
90,-111.97578600000001,347.14,33.412915000000005
91,-111.997077,346.24,33.449686
92,-111.871255,366.56,33.390322999999995
93,-114.02983799999998,1050.97,35.27099600000001
94,-112.12133600000001,422.07,33.684428000000004
95,-109.21683999999999,2156.52,36.293328
96,-111.653724,2102.0,35.188449
97,-110.142199,1598.09,34.93031
98,-112.113001,377.06,33.572173
99,-112.088293,335.48,33.481361
100,-111.90807,370.34,33.46615300000001
101,-110.88665900000001,776.01,32.222125
102,-110.87878300000001,756.44,32.248067
103,-106.59488,1575.72,35.104855
104,-112.477185,1629.07,34.5452
105,-111.98935700000001,348.04,33.448692
106,-111.97417,347.74,33.413309000000005
107,-112.086161,329.36,33.45489
108,-111.885186,384.21,33.51135
109,-112.03263500000001,353.86,33.382406
110,-112.181776,377.15,33.622952000000005
111,-112.288123,308.04,33.453005
112,-112.118168,360.66,33.538092999999996
113,-112.453395,1643.15,34.547495
114,-92.33977800000001,85.08,34.723254
115,-92.32004599999999,127.78,34.749047999999995
116,-92.290555,102.19,34.734751
117,-92.343366,87.72,34.672171
118,-93.135369,107.6,35.27902
119,-91.625354,130.0,35.777619
120,-92.266429,78.7,34.753842999999996
121,-94.410967,141.18,35.37995499999999
122,-94.17698100000001,436.37,36.07000900000001
123,-92.018683,68.68,34.244031
124,-91.895351,76.89,35.074176
125,-90.679988,92.93,35.842388
126,-93.13561999999999,106.35,35.293237
127,-91.811153,82.73,33.590909
128,-92.102579,86.85,34.891572
129,-92.40692,112.56,34.713115
130,-90.951033,83.21,36.239793
131,-92.457672,94.71,35.077945
132,-92.445021,96.75,35.083838
133,-94.3673,123.85,34.043389000000005
134,-90.584395,123.61,36.064845
135,-90.767321,105.43,35.039815999999995
136,-90.767726,110.38,35.041655
137,-92.341891,118.75,34.75128
138,-92.222202,96.7,34.789913
139,-93.119248,153.07,34.512687
140,-91.615852,87.36,35.79292299999999
141,-91.72614300000001,75.49,35.247386
142,-93.059703,77.21,34.128155
143,-92.443256,102.78,35.101565
144,-93.037277,175.44,34.496057
145,-92.018045,68.69,34.187831
146,-94.560283,345.44,36.189811999999996
147,-94.12947,412.54,36.167605
